% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 50.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:35:18 +0000
% Time (s), Channel A (V)
-2.4826424000e-02, 5.1294579869e-02
-2.4822336000e-02, 5.3737178911e-02
-2.4818248000e-02, 5.1294579869e-02
-2.4814160000e-02, 5.3737178911e-02
-2.4810072000e-02, 5.1294579869e-02
-2.4805984000e-02, 5.3737178911e-02
-2.4801896000e-02, 5.3737178911e-02
-2.4797808000e-02, 5.1294579869e-02
-2.4793720000e-02, 5.1294579869e-02
-2.4789632000e-02, 5.1294579869e-02
-2.4785544000e-02, 5.1294579869e-02
-2.4781456000e-02, 5.1294579869e-02
-2.4777368000e-02, 5.1294579869e-02
-2.4773280000e-02, 5.1294579869e-02
-2.4769192000e-02, 4.8851980828e-02
-2.4765104000e-02, 5.3737178911e-02
-2.4761016000e-02, 5.1294579869e-02
-2.4756928000e-02, 5.3737178911e-02
-2.4752840000e-02, 5.1294579869e-02
-2.4748752000e-02, 5.1294579869e-02
-2.4744664000e-02, 4.8851980828e-02
-2.4740576000e-02, 4.8851980828e-02
-2.4736488000e-02, 5.1294579869e-02
-2.4732400000e-02, 4.8851980828e-02
-2.4728312000e-02, 5.1294579869e-02
-2.4724224000e-02, 5.1294579869e-02
-2.4720136000e-02, 5.1294579869e-02
-2.4716048000e-02, 5.1294579869e-02
-2.4711960000e-02, 4.8851980828e-02
-2.4707872000e-02, 5.3737178911e-02
-2.4703784000e-02, 5.1294579869e-02
-2.4699696000e-02, 4.8851980828e-02
-2.4695608000e-02, 4.8851980828e-02
-2.4691520000e-02, 4.8851980828e-02
-2.4687432000e-02, 4.8851980828e-02
-2.4683344000e-02, 4.8851980828e-02
-2.4679256000e-02, 5.1294579869e-02
-2.4675168000e-02, 4.8851980828e-02
-2.4671080000e-02, 5.1294579869e-02
-2.4666992000e-02, 5.1294579869e-02
-2.4662904000e-02, 4.8851980828e-02
-2.4658816000e-02, 4.8851980828e-02
-2.4654728000e-02, 4.6409381786e-02
-2.4650640000e-02, 5.1294579869e-02
-2.4646552000e-02, 4.8851980828e-02
-2.4642464000e-02, 5.1294579869e-02
-2.4638376000e-02, 4.8851980828e-02
-2.4634288000e-02, 4.8851980828e-02
-2.4630200000e-02, 4.8851980828e-02
-2.4626112000e-02, 4.6409381786e-02
-2.4622024000e-02, 4.8851980828e-02
-2.4617936000e-02, 4.8851980828e-02
-2.4613848000e-02, 4.8851980828e-02
-2.4609760000e-02, 4.8851980828e-02
-2.4605672000e-02, 4.6409381786e-02
-2.4601584000e-02, 4.8851980828e-02
-2.4597496000e-02, 4.6409381786e-02
-2.4593408000e-02, 4.8851980828e-02
-2.4589320000e-02, 4.8851980828e-02
-2.4585232000e-02, 4.6409381786e-02
-2.4581144000e-02, 4.6409381786e-02
-2.4577056000e-02, 4.6409381786e-02
-2.4572968000e-02, 4.6409381786e-02
-2.4568880000e-02, 4.8851980828e-02
-2.4564792000e-02, 4.8851980828e-02
-2.4560704000e-02, 4.6409381786e-02
-2.4556616000e-02, 4.8851980828e-02
-2.4552528000e-02, 4.6409381786e-02
-2.4548440000e-02, 4.6409381786e-02
-2.4544352000e-02, 4.6409381786e-02
-2.4540264000e-02, 4.6409381786e-02
-2.4536176000e-02, 4.8851980828e-02
-2.4532088000e-02, 4.6409381786e-02
-2.4528000000e-02, 4.3966782745e-02
-2.4523912000e-02, 4.6409381786e-02
-2.4519824000e-02, 4.6409381786e-02
-2.4515736000e-02, 4.6409381786e-02
-2.4511648000e-02, 4.6409381786e-02
-2.4507560000e-02, 4.8851980828e-02
-2.4503472000e-02, 4.6409381786e-02
-2.4499384000e-02, 4.8851980828e-02
-2.4495296000e-02, 4.6409381786e-02
-2.4491208000e-02, 4.6409381786e-02
-2.4487120000e-02, 4.3966782745e-02
-2.4483032000e-02, 4.6409381786e-02
-2.4478944000e-02, 4.6409381786e-02
-2.4474856000e-02, 4.6409381786e-02
-2.4470768000e-02, 4.3966782745e-02
-2.4466680000e-02, 4.6409381786e-02
-2.4462592000e-02, 4.6409381786e-02
-2.4458504000e-02, 4.6409381786e-02
-2.4454416000e-02, 4.3966782745e-02
-2.4450328000e-02, 4.6409381786e-02
-2.4446240000e-02, 4.6409381786e-02
-2.4442152000e-02, 4.3966782745e-02
-2.4438064000e-02, 4.3966782745e-02
-2.4433976000e-02, 4.6409381786e-02
-2.4429888000e-02, 4.6409381786e-02
-2.4425800000e-02, 4.6409381786e-02
-2.4421712000e-02, 4.3966782745e-02
-2.4417624000e-02, 4.8851980828e-02
-2.4413536000e-02, 4.6409381786e-02
-2.4409448000e-02, 4.6409381786e-02
-2.4405360000e-02, 4.3966782745e-02
-2.4401272000e-02, 4.3966782745e-02
-2.4397184000e-02, 4.6409381786e-02
-2.4393096000e-02, 4.6409381786e-02
-2.4389008000e-02, 4.6409381786e-02
-2.4384920000e-02, 4.6409381786e-02
-2.4380832000e-02, 4.3966782745e-02
-2.4376744000e-02, 4.3966782745e-02
-2.4372656000e-02, 4.6409381786e-02
-2.4368568000e-02, 4.6409381786e-02
-2.4364480000e-02, 4.1524183704e-02
-2.4360392000e-02, 4.6409381786e-02
-2.4356304000e-02, 4.6409381786e-02
-2.4352216000e-02, 4.3966782745e-02
-2.4348128000e-02, 4.3966782745e-02
-2.4344040000e-02, 4.3966782745e-02
-2.4339952000e-02, 4.3966782745e-02
-2.4335864000e-02, 4.1524183704e-02
-2.4331776000e-02, 4.3966782745e-02
-2.4327688000e-02, 4.3966782745e-02
-2.4323600000e-02, 4.3966782745e-02
-2.4319512000e-02, 4.3966782745e-02
-2.4315424000e-02, 4.6409381786e-02
-2.4311336000e-02, 4.3966782745e-02
-2.4307248000e-02, 4.6409381786e-02
-2.4303160000e-02, 4.3966782745e-02
-2.4299072000e-02, 4.3966782745e-02
-2.4294984000e-02, 4.3966782745e-02
-2.4290896000e-02, 4.3966782745e-02
-2.4286808000e-02, 4.1524183704e-02
-2.4282720000e-02, 4.3966782745e-02
-2.4278632000e-02, 4.3966782745e-02
-2.4274544000e-02, 4.3966782745e-02
-2.4270456000e-02, 4.1524183704e-02
-2.4266368000e-02, 4.3966782745e-02
-2.4262280000e-02, 4.3966782745e-02
-2.4258192000e-02, 4.3966782745e-02
-2.4254104000e-02, 4.1524183704e-02
-2.4250016000e-02, 4.1524183704e-02
-2.4245928000e-02, 4.3966782745e-02
-2.4241840000e-02, 4.1524183704e-02
-2.4237752000e-02, 4.1524183704e-02
-2.4233664000e-02, 4.1524183704e-02
-2.4229576000e-02, 4.3966782745e-02
-2.4225488000e-02, 4.3966782745e-02
-2.4221400000e-02, 4.3966782745e-02
-2.4217312000e-02, 4.3966782745e-02
-2.4213224000e-02, 4.1524183704e-02
-2.4209136000e-02, 4.1524183704e-02
-2.4205048000e-02, 4.1524183704e-02
-2.4200960000e-02, 4.1524183704e-02
-2.4196872000e-02, 4.1524183704e-02
-2.4192784000e-02, 4.1524183704e-02
-2.4188696000e-02, 4.1524183704e-02
-2.4184608000e-02, 4.3966782745e-02
-2.4180520000e-02, 4.1524183704e-02
-2.4176432000e-02, 3.9081584662e-02
-2.4172344000e-02, 4.1524183704e-02
-2.4168256000e-02, 3.9081584662e-02
-2.4164168000e-02, 4.1524183704e-02
-2.4160080000e-02, 4.1524183704e-02
-2.4155992000e-02, 4.1524183704e-02
