% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 50.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:36:35 +0000
% Time (s), Channel A (Input 1) (V)
1.232123200000e-02, -5.495848e-02
1.237028800000e-02, -5.495848e-02
1.241934400000e-02, -5.495848e-02
1.246840000000e-02, -5.373718e-02
1.251745600000e-02, -5.251588e-02
1.256651200000e-02, -5.129458e-02
1.261556800000e-02, -5.129458e-02
1.266462400000e-02, -5.007328e-02
1.271368000000e-02, -4.885198e-02
1.276273600000e-02, -4.763068e-02
1.281179200000e-02, -4.763068e-02
1.286084800000e-02, -4.518808e-02
1.290990400000e-02, -4.518808e-02
1.295896000000e-02, -4.396678e-02
1.300801600000e-02, -4.396678e-02
1.305707200000e-02, -4.274548e-02
1.310612800000e-02, -4.152418e-02
1.315518400000e-02, -4.152418e-02
1.320424000000e-02, -4.030288e-02
1.325329600000e-02, -3.786029e-02
1.330235200000e-02, -3.786029e-02
1.335140800000e-02, -3.663899e-02
1.340046400000e-02, -3.663899e-02
